,V1,V4,V7,V10,V13,V16,V19,V22,V25,V28,V31,V34,V37,V40,V43,V46,V49
104,406085418.944934,500370931.249503,66472935.7839105,446484921.440074,468148373.216235,68176004.2405302,311281806.561776,336703797.211601,9437681.58864422,31441482.1341531,116386471.895419,75710801.1391954,34370177.5490653,117719968.733727,495947089.648135,64634302.5829618,12910857.402314
105,2344834254.7613,173319232.989951,56200896.1408848,104994464.721117,149620257.171432,586370350.882318,180627171.768303,122314370.728633,820445267.093799,126522234.106054,1665005404.58003,301782752.397845,37892783.0868801,237580001.774004,203323276.8044,57730190.9013814,74210785.9620612
106,29257859.4107752,473667810.695094,251271145.643258,30502449.2988226,32104676.2193518,50929087.003465,21586403.0304951,21313252.8978792,64332185.2891307,316397228.055693,59466330.9747919,22650748.8259185,392809492.774315,106270863.781881,47697901.9237162,187429189.582146,395596940.010411
107,464663396.921082,445814218.945378,25367081.7708863,492849354.561353,433988762.039373,449835141.307584,472863634.865266,473426270.587625,39599963.4482244,39190594.3662162,412325911.632725,13994669.95012,210173921.999267,13094894.4911702,499425563.141368,14172411.7181716,249404385.604642
108,16237684.0790433,18635859.7305905,113188711.803639,1655878733.63482,19389318.124796,17101657.2838917,16262582.2885666,18050060.3116278,19014444.9773516,38672249.8180189,1207354368.96332,26179629.2453406,30102149.2310049,87995955.7329969,242405619.514493,66004324.1011125,36837140.9627023
109,406452012.762849,478745929.724356,27178649.8765265,123884207.307329,63240004.9159968,477269245.130288,359335084.758228,56535281.5724135,205071032.159169,269106050.695426,45801837.1561904,52482855.6073043,486086698.214459,212781007.784835,214440067.608858,41300007.0031746,444916885.633107
110,16183653.8548607,101702491.482115,12348787.9003899,35932769.2751807,12199745.59668,132817053.668656,11396345.4067207,10242151.5598927,6849006.44244542,14896161.2088842,66930262.163551,28949437.5212766,80672752.7150571,27500919.4769901,129541122.6305,7084906.89351953,50026005.8189193
111,378030727.117724,476919697.575689,423144959.832543,492657361.267356,413849832.577587,466799018.747792,429885551.392009,500081397.320923,81203908.0695277,152565134.954791,438228345.986382,363257995.221353,253527838.610557,65958505.1161086,360774302.490059,450781413.326266,257265036.263108
112,8902689.77327405,431120457.943372,9440603.60228601,20256227.1495951,39719727.6690834,436925511.275806,24304126.5300231,10708406.7229796,12883255.6307584,9171861.50495061,53668492.7640634,7484272.15209835,16755217.140035,55401516.6112803,8293841.76212317,5933734.58803235,15236138.7349227
113,12813566.8009195,244011975.878717,209682206.385679,115346169.90581,87757724.0435266,34930332.4452034,11288732.7528126,11558411.6667692,28663661.4637852,57744817.2813041,131683615.941043,10073639.2417323,70228960.3444089,10259981.0998098,477433000.417378,18928679.4311549,86965212.6935615
114,116546974.106663,84853719.8549472,14532538.2006818,171652163.176207,356948454.925029,34531489.815213,315365079.29349,60505912.0724958,78969869.0784593,44998233.5777363,82800782.8251069,22829174.503121,49312232.666176,38302861.8470398,176849130.292302,17720691.0485382,52153470.9560781
115,30717192.7651094,121122998.271667,143477707.110014,453282605.118384,73000350.9170758,35966147.7228528,17613305.3890684,145575619.765054,11968439.7701664,70194001.7562566,126293507.419286,20781080.9938862,63681998.2731013,13972271.9140457,454819679.889696,8568838.4492974,52352003.66334
116,477362211.282929,451957642.820529,12175557.3049376,432858808.358779,487521405.444939,468476443.506678,454069065.727953,445731263.192769,108185678.400993,19375183.6388988,63996246.7995459,148787543.144955,96142906.1476097,10890401.8126281,389854759.628954,96799883.7560986,103828290.76956
117,22644764.035903,413470803.350946,325347681.535083,58326170.992218,422295753.737868,446217355.844864,460531879.854886,454159122.247966,33586456.5303094,112320854.261181,422585915.829966,77235807.4472046,1057725294.9699,32175932.1068786,216639961.904714,61121979.9057477,699813955.620611
118,178585303.987737,92829506.2198224,57459473.8859066,110030716.461438,276307130.554363,186607720.11058,73784058.4217627,198188992.736627,162128610.690858,85545569.0687303,187967460.377087,112899070.292181,360525546.688972,233559504.117336,384974927.869479,83811659.4361091,191127759.991799
119,99280854.3275606,21382433.8923219,41803937.1314194,160192561.597841,157892760.272439,18367674.7160323,58312143.3686961,15532542.3354387,158595550.780539,181703851.455869,552196549.141399,338975301.660733,148689872.042537,82829597.8649745,334128747.326786,320837439.909276,207816879.385396
120,303209694.134664,470735741.530848,622866671.105951,381931405.067652,316817545.067121,421343873.968235,459980291.377146,485951776.88851,343875956.284313,306609838.538754,440150707.876073,329398333.77369,330151291.222383,359562419.66189,442863842.163293,376985753.246933,347921256.153063
121,14214086279.618,12949853289.9146,12251162444.6643,11121056315.3144,10550163710.062,14536418054.3102,12154628373.4036,11823725155.9581,12706975875.8965,13386320798.012,11198219757.8506,62322827325.6612,16961285811.7018,13565434176.7419,60699375385.2394,11014162251.3816,13894528911.4724
122,7753464.68994989,476929470.334497,84284301.3634582,30052860.0951664,111500825.978858,32038707.586431,33729353.1746204,68858148.6918446,32447770.3433431,9707084.95974126,433074498.312045,226870385.548218,168589732.804463,35862658.1173309,135654887.006408,63352202.9489343,125048343.982289
123,208166452.761231,30313767.1694194,35495747.5689476,389042942.046355,460429186.520065,35871977.6251894,38395494.9124493,39179918.1380484,59995974.9834562,502066608.679684,28567316.1175102,28851986.965039,223500516.878016,14110989.9745028,415261371.101632,379838712.786522,359661241.872172
124,499629482.677831,473004798.896239,448959499.942619,466313839.839274,475117291.59017,504297455.041539,454241416.599556,512500879.444123,494401348.931039,314034660.047485,444166865.832422,520335342.739787,190697334.243849,254492485.124075,489247833.051526,536122326.725761,249540601.515066
125,489097876.12106,452193524.496093,424506714.562658,501404961.306162,479717225.991601,425762590.404902,424133569.472558,499644050.933618,125296325.523467,142650018.390645,491106849.317708,182997913.026149,319263105.743081,362531912.595659,343959592.263757,47263931.3659641,320731421.132564
126,170726306.089564,75603386.3687675,36142688.7301916,208100707.035367,41041874.1258389,58627450.2915826,39038684.7875562,40428861.0845451,30063915.92931,26307744.6504004,35392384.8000262,91950854.8329604,27838267.2048936,425841456.311747,74809771.3954929,27227200.4000741,32516893.3541605
127,45299432.5073917,54769575.0048173,29190738.6065434,42972301.5016612,11793301.9035113,13475412.146141,18347126.6892767,19551981.6676399,29530709.7654587,29516203.8378202,82778332.9986151,43620448.9358946,64268344.9618271,47330479.5725055,18137697.4933123,52283602.3561329,92913453.8716839
128,16099383.9952894,455943396.939261,491350937.301585,16148735.3347765,8173558.30390277,4445877.27751943,11712573.7919883,9335156.31059395,51304755.1962146,120143551.204004,8211081.58502172,8116526.94509554,139899225.954011,25281102.3529494,423065876.644569,10661730.2004489,147792236.430177
129,147820470.39789,7431451.78531921,14893155.9071198,28279430.6239735,112244048.693391,33493910.7250799,110300159.421472,39136326.6459428,113604515.919145,1835927220.888,153142564.331609,143667547.015624,132521703.03021,27173350.3402052,159970823.918397,56995353.073614,316992427.301635
130,777628431.595509,189523723.622893,33286362.2764156,839016229.920131,538877610.046301,581560530.737388,741271725.000919,778732538.741054,709265985.17723,500385056.079741,8286576.1210414,746502486.681455,945416105.518227,735395378.704044,9020058.4357843,363844265.374004,824400879.298336
131,38731282.7741882,9423312.61777464,84093460.8492265,22175599.9233249,8704398.27465001,47451157.2947669,37218219.4084455,22182640.09253,41124581.7065103,76246991.4471466,27795774.1068061,71261209.8489039,77376792.8449482,37039878.4483253,27575062.2404268,73810876.4130829,86837982.5787257
132,220238764.680328,17359047.8213938,142263737.700322,237190663.404363,230199525.987355,225260162.392485,130563486.278758,7076634.94760465,219907579.547478,242345008.077597,183814168.109088,223045133.906001,258439332.765781,229630943.230555,458580737.001781,237735529.898141,262591120.161359
133,6742543208.89004,416982846.288559,28132511.4849989,475554432.353265,474959463.218304,480468969.273399,476136551.973881,441085153.353995,265623203.226195,73798432.9099689,40993086.5193698,51870781.3814487,89369986.947892,23679089.7929911,408874388.768348,52635157.1656836,105710185.72801
134,11942503.0193561,22252605.555097,18786614.3810891,19371642.4927354,28744006.6435387,9199115.71237435,21694351.4902047,17730290.550359,16498505.2859352,16518168.0251321,35314949.6948335,14561658.8647,153743669.734708,58002009.7152762,57774744.0274424,19106006.1584101,316383050.408339
135,126514621.962015,81628502.4863663,25562128.7383032,17947015.7223066,123211705.823988,126448019.687753,77352737.1176202,81932597.8423773,100601281.842133,84093863.7494644,1234395364.67362,184665745.821928,2475791344.47894,1069483451.19636,425013501.920426,39209395.6270683,1435220402.89929
136,374659365.22126,473744159.78968,61629298.8151652,487167453.136539,449313135.345791,77314652.8181645,308373880.449422,356107591.551196,9446002.14739346,33621654.072756,103787763.212871,68104050.1607418,34938745.9899915,116128311.969321,488144669.318172,64372247.4499073,14434350.654562
137,2582093103.71322,166687926.933596,63160131.5895691,113690636.411065,125204655.397445,586238145.08228,180622660.308661,110380582.724743,799000557.058392,122066212.662098,1509667502.38809,267041519.17437,40687179.0418545,235475062.476531,187628471.518495,63253857.1022476,70285923.5300507
138,27936701.2350748,481711991.646298,248423075.250976,26020335.4081119,34503929.7687754,52316797.688618,21687258.1083643,19181702.548729,66649721.3363325,322736384.025595,59814289.6084549,20641899.2589723,365708115.4467,104210725.632797,47104570.9521589,212148114.720775,448817270.684716
139,403932763.026812,468632045.588317,26070253.1727012,477375276.319898,481305052.014602,428136950.034299,486581416.784009,418602355.145899,35159426.1749415,40413883.759043,454655841.223185,13253226.4062748,223377442.482388,11875871.5415196,424564253.868691,14354583.0901709,234318603.939067
140,15253183.0876869,16442677.2300951,111225642.751371,1607369666.53687,20079653.1233652,16426303.795952,16587812.1783695,17684554.0753383,17191848.4698519,33837419.4430784,1372964553.22658,26725697.2519032,29315306.7697757,94880304.625418,225096875.028435,69836215.2563824,42162170.6265739
141,398118478.298579,461972797.269798,28929539.7629093,120295614.668598,66649468.667688,447534964.974409,347949908.178259,58916548.7237899,177729518.305427,302761238.746689,45981081.5418314,55841554.7947762,490040954.328354,216262735.307365,233382166.12749,43595897.2497106,442515316.245725
142,17960362.9164583,102838322.054987,13006910.7142675,37584378.5209038,13019661.6675012,116417848.248104,10387347.0988864,8864004.59892165,5880928.96237967,16494334.5093613,70431124.4980989,24028202.9070779,88942734.7412879,24587773.2615594,133286505.294477,7478065.91690086,54509629.2613203
